Candidate,County Name,Mode,Office,Party,State,State Po,Version,Year,Candidatevotes,County Fips,Totalvotes
AL GORE,ADAMS,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,11682,42001,33433
GEORGE W. BUSH,ADAMS,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,20848,42001,33433
RALPH NADER,ADAMS,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,696,42001,33433
OTHER,ADAMS,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,207,42001,33433
AL GORE,ALLEGHENY,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,329963,42003,582478
GEORGE W. BUSH,ALLEGHENY,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,235361,42003,582478
RALPH NADER,ALLEGHENY,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,10575,42003,582478
OTHER,ALLEGHENY,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,6579,42003,582478
AL GORE,ARMSTRONG,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,11127,42005,27423
GEORGE W. BUSH,ARMSTRONG,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,15508,42005,27423
RALPH NADER,ARMSTRONG,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,485,42005,27423
OTHER,ARMSTRONG,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,303,42005,27423
AL GORE,BEAVER,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,38925,42007,73593
GEORGE W. BUSH,BEAVER,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,32491,42007,73593
RALPH NADER,BEAVER,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,1450,42007,73593
OTHER,BEAVER,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,727,42007,73593
AL GORE,BEDFORD,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,5474,42009,19435
GEORGE W. BUSH,BEDFORD,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,13598,42009,19435
RALPH NADER,BEDFORD,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,265,42009,19435
OTHER,BEDFORD,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,98,42009,19435
AL GORE,BERKS,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,59150,42011,135163
GEORGE W. BUSH,BERKS,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,71273,42011,135163
RALPH NADER,BERKS,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,3494,42011,135163
OTHER,BERKS,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,1246,42011,135163
AL GORE,BLAIR,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,15774,42013,45140
GEORGE W. BUSH,BLAIR,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,28376,42013,45140
RALPH NADER,BLAIR,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,693,42013,45140
OTHER,BLAIR,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,297,42013,45140
AL GORE,BRADFORD,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,7911,42015,23330
GEORGE W. BUSH,BRADFORD,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,14660,42015,23330
RALPH NADER,BRADFORD,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,600,42015,23330
OTHER,BRADFORD,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,159,42015,23330
AL GORE,BUCKS,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,132914,42017,263422
GEORGE W. BUSH,BUCKS,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,121927,42017,263422
RALPH NADER,BUCKS,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,6294,42017,263422
OTHER,BUCKS,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,2287,42017,263422
AL GORE,BUTLER,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,25037,42019,70824
GEORGE W. BUSH,BUTLER,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,44009,42019,70824
RALPH NADER,BUTLER,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,1287,42019,70824
OTHER,BUTLER,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,491,42019,70824
AL GORE,CAMBRIA,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,30308,42021,60286
GEORGE W. BUSH,CAMBRIA,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,28001,42021,60286
RALPH NADER,CAMBRIA,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,1369,42021,60286
OTHER,CAMBRIA,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,608,42021,60286
AL GORE,CAMERON,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,779,42023,2246
GEORGE W. BUSH,CAMERON,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,1383,42023,2246
RALPH NADER,CAMERON,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,50,42023,2246
OTHER,CAMERON,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,34,42023,2246
AL GORE,CARBON,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,10668,42025,21277
GEORGE W. BUSH,CARBON,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,9717,42025,21277
RALPH NADER,CARBON,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,574,42025,21277
OTHER,CARBON,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,318,42025,21277
AL GORE,CENTRE,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,21409,42027,49538
GEORGE W. BUSH,CENTRE,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,26172,42027,49538
RALPH NADER,CENTRE,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,1623,42027,49538
OTHER,CENTRE,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,334,42027,49538
AL GORE,CHESTER,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,82047,42029,187562
GEORGE W. BUSH,CHESTER,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,100080,42029,187562
RALPH NADER,CHESTER,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,4302,42029,187562
OTHER,CHESTER,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,1133,42029,187562
AL GORE,CLARION,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,5605,42031,15843
GEORGE W. BUSH,CLARION,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,9796,42031,15843
RALPH NADER,CLARION,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,293,42031,15843
OTHER,CLARION,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,149,42031,15843
AL GORE,CLEARFIELD,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,11718,42033,30609
GEORGE W. BUSH,CLEARFIELD,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,18019,42033,30609
RALPH NADER,CLEARFIELD,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,570,42033,30609
OTHER,CLEARFIELD,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,302,42033,30609
AL GORE,CLINTON,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,5521,42035,11994
GEORGE W. BUSH,CLINTON,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,6064,42035,11994
RALPH NADER,CLINTON,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,307,42035,11994
OTHER,CLINTON,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,102,42035,11994
AL GORE,COLUMBIA,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,8975,42037,21894
GEORGE W. BUSH,COLUMBIA,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,12095,42037,21894
RALPH NADER,COLUMBIA,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,663,42037,21894
OTHER,COLUMBIA,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,161,42037,21894
AL GORE,CRAWFORD,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,13250,42039,33321
GEORGE W. BUSH,CRAWFORD,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,18858,42039,33321
RALPH NADER,CRAWFORD,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,854,42039,33321
OTHER,CRAWFORD,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,359,42039,33321
AL GORE,CUMBERLAND,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,31053,42041,88062
GEORGE W. BUSH,CUMBERLAND,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,54802,42041,88062
RALPH NADER,CUMBERLAND,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,1749,42041,88062
OTHER,CUMBERLAND,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,458,42041,88062
AL GORE,DAUPHIN,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,44390,42043,100658
GEORGE W. BUSH,DAUPHIN,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,53631,42043,100658
RALPH NADER,DAUPHIN,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,2059,42043,100658
OTHER,DAUPHIN,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,578,42043,100658
AL GORE,DELAWARE,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,134861,42045,248077
GEORGE W. BUSH,DELAWARE,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,105836,42045,248077
RALPH NADER,DELAWARE,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,5348,42045,248077
OTHER,DELAWARE,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,2032,42045,248077
AL GORE,ELK,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,5754,42047,13578
GEORGE W. BUSH,ELK,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,7347,42047,13578
RALPH NADER,ELK,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,352,42047,13578
OTHER,ELK,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,125,42047,13578
AL GORE,ERIE,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,59399,42049,112335
GEORGE W. BUSH,ERIE,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,49027,42049,112335
RALPH NADER,ERIE,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,2980,42049,112335
OTHER,ERIE,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,929,42049,112335
AL GORE,FAYETTE,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,28152,42051,49532
GEORGE W. BUSH,FAYETTE,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,20013,42051,49532
RALPH NADER,FAYETTE,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,798,42051,49532
OTHER,FAYETTE,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,569,42051,49532
AL GORE,FOREST,TOTAL,US PRESIDENT,DEMOCRAT,PENNSYLVANIA,PA,3/15/22,1,843,42053,2283
GEORGE W. BUSH,FOREST,TOTAL,US PRESIDENT,REPUBLICAN,PENNSYLVANIA,PA,3/15/22,1,1371,42053,2283
RALPH NADER,FOREST,TOTAL,US PRESIDENT,GREEN,PENNSYLVANIA,PA,3/15/22,1,57,42053,2283
OTHER,FOREST,TOTAL,US PRESIDENT,OTHER,PENNSYLVANIA,PA,3/15/22,1,12,42053,2283
