Clinton Zero,County,Demgov16,"Female Pct, Median Hh Inc, Rural Pct and 1 more (clusters)",Obama Zero,Othergov16,Otherpres12 0,Otherpres16  0,Repgov16,Romney Zero,State,Trump Zero,Age29Andunder Pct,Age65Andolder Pct,Black Pct,Clf Unemploy Pct,Clinton16,Cvap,Demgov14,Demhouse16,Democratic Shift,Demsen16,Female Pct,Fips,Foreignborn Pct,Hispanic Pct,Lesscollege Pct,Lesscollege Whites Pct,Lesshs Pct,Lesshs Whites Pct,Median Hh Inc,Nonwhite Pct,Obama12,Othergov14,Otherhouse16,Otherpres Shift,Otherpres12,Otherpres16,Othersen16,Repgov14,Rephouse16,Repsen16,Republican Shift,Romney12,Rural Pct,Ruralurban Cc,Total Population,Trump16,Votes12,Votes16,White Pct
TRUE,Adams,NA,Cluster 1,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,35.81403119,18.25587909,1.352214546,5.524954721,14219,78370,11096,12814,-5.602526956,14593,50.63630735,42001,3.978026514,6.604821195,78.13326544,77.44617352,12.20774812,10.61607333,61927,10.23791507,15091,0,0,2.478482536,599,1847,2418,16729,33788,30492,3.12404442,26767,53.67578175,3,101759,31423,35.54419766,29.9416707,89.76208493
TRUE,Allegheny,NA,Cluster 2,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,36.39243799,17.40368673,12.82502682,6.406960858,367617,961595,205311,311338,-0.148162815,357450,51.80036737,42003,5.620224975,1.890097207,60.93041857,59.56688975,6.132273227,5.274032679,54357,20.63176631,352687,0,0,2.358134065,7355,23017,28260,146989,292805,261316,-2.20997125,262039,2.486291717,1,1230360,259480,56.69470696,56.54654415,79.36823369
TRUE,Armstrong,NA,Cluster 3,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,31.89507051,20.24232729,0.93909231,7.733723391,7178,54155,7030,0,-7.853109673,8387,50.37178576,42005,0.641367461,0.675435478,84.49582634,84.62523494,10.90001415,10.77927174,45879,2.664711459,9045,0,0,1.621661853,415,956,2220,11287,26957,20793,6.23144782,20142,67.48669152,1,67512,23484,30.55536788,22.70225821,97.33528854
TRUE,Beaver,NA,Cluster 1,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,33.27088443,19.68263349,5.992730711,6.105234204,32531,134970,24028,34109,-7.11974535,34263,51.52330014,42007,1.647114447,1.423716793,76.59567521,76.29121874,8.067557529,7.698287208,51887,10.14863627,37055,0,0,2.101960231,1075,2873,5058,22911,48729,44000,5.017785119,42344,25.82752332,1,169205,48167,46.04592788,38.92618253,89.85136373
TRUE,Bedford,NA,Cluster 3,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,32.57594367,20.53754196,0.472856792,6.216284558,3645,38650,4738,8811,-6.646828272,4356,50.03479899,42009,0.540407762,1.115614509,86.23746672,86.24140632,13.34334108,13.25385084,46746,2.996806681,4788,0,0,0.907439398,207,440,1344,8944,14343,17739,5.739388875,16702,83.79486355,6,48852,19552,22.06756695,15.42073867,97.00319332
TRUE,Berks,NA,Cluster 2,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,38.91817618,15.8400085,4.085757685,8.208129271,78437,306015,50762,74137,-5.891727477,77028,50.84678228,42011,7.051970915,18.82312598,76.38186075,73.82189123,14.46759384,9.955477278,57068,25.92556816,83011,0,1789,2.840476819,2607,8002,6919,48809,99194,95466,3.051250658,84702,23.73603084,2,414097,96626,48.7382574,42.84652992,74.07443184
TRUE,Blair,NA,Cluster 1,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,35.27879476,19.31113352,1.575641097,5.815087168,13958,99495,12459,19888,-6.975611231,15107,51.03599991,42013,1.149963865,1.135668734,80.46613748,80.50978703,9.326127343,9.297965742,44033,4.975499734,16276,0,0,2.021487812,646,1816,3150,17209,33679,36533,4.95412342,33319,23.43082407,3,125917,39135,32.39585199,25.42024076,95.02450027
TRUE,Bradford,NA,Cluster 3,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,34.82720683,19.33244887,0.551708517,5.406076075,6369,47850,4920,6159,-12.03940734,6985,50.58892053,42015,1.341250324,1.433471395,82.31827563,82.57450135,11.14652603,11.03425404,51035,3.868431271,8624,0,0,2.986673614,392,1198,2000,9634,19201,16574,9.052733727,14410,72.17431574,6,61808,18141,36.81379664,24.7743893,96.13156873
TRUE,Bucks,NA,Cluster 2,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,34.80246559,16.65980007,3.715786784,6.195625661,167060,474050,103787,156527,-1.481988747,157709,50.96483664,42017,8.528153045,4.854364281,61.6504558,61.58939884,6.432711508,5.500394988,79559,14.75104596,160521,0,0,2.519917531,3916,12876,5845,94546,182120,175898,-1.037928784,156579,8.829602286,1,626220,164361,50.00404964,48.5220609,85.24895404
TRUE,Butler,NA,Cluster 1,TRUE,NA,TRUE,TRUE,NA,TRUE,Pennsylvania,TRUE,35.26944627,16.97656662,1.050146795,5.154692157,28584,145675,20153,0,-2.472568781,28715,50.56889673,42019,2.033617602,1.312011356,66.70984655,67.20810167,6.487712897,6.355043685,63345,4.814113801,28550,0,0,2.913657203,1134,4059,5465,35783,80065,62425,-0.441088422,59761,41.96408176,1,185974,64428,31.9190564,29.44648762,95.1858862
