Candidate,Notes,Office,Party Detailed,Party Simplified,State,State Po,Version,Writein,Year,Candidatevotes,State Cen,State Fips,State Ic,Totalvotes
"CARTER, JIMMY",NA,US PRESIDENT,DEMOCRAT,DEMOCRAT,PENNSYLVANIA,PA,1/13/21,FALSE,1,2328677,23,42,14,4620787
"FORD, GERALD",NA,US PRESIDENT,REPUBLICAN,REPUBLICAN,PENNSYLVANIA,PA,1/13/21,FALSE,1,2205604,23,42,14,4620787
"MCCARTHY, EUGENE """"GENE""""",NA,US PRESIDENT,MCCARTHY '76,OTHER,PENNSYLVANIA,PA,1/13/21,FALSE,1,50584,23,42,14,4620787
"MADDOX, LESTER",NA,US PRESIDENT,CONSTITUTION PARTY,OTHER,PENNSYLVANIA,PA,1/13/21,FALSE,1,25344,23,42,14,4620787
"CAMEJO, PETER",NA,US PRESIDENT,SOCIALIST WORKERS,OTHER,PENNSYLVANIA,PA,1/13/21,FALSE,1,3009,23,42,14,4620787
OTHER,NA,US PRESIDENT,,OTHER,PENNSYLVANIA,PA,1/13/21,FALSE,1,2934,23,42,14,4620787
"LAROUCHE, LYNDON, JR.",NA,US PRESIDENT,U.S. LABOR,OTHER,PENNSYLVANIA,PA,1/13/21,FALSE,1,2744,23,42,14,4620787
"HALL, GUS",NA,US PRESIDENT,COMMUNIST PARTY USE,OTHER,PENNSYLVANIA,PA,1/13/21,FALSE,1,1891,23,42,14,4620787
"REAGAN, RONALD",NA,US PRESIDENT,REPUBLICAN,REPUBLICAN,PENNSYLVANIA,PA,1/13/21,FALSE,2,2261872,23,42,14,4561501
"CARTER, JIMMY",NA,US PRESIDENT,DEMOCRAT,DEMOCRAT,PENNSYLVANIA,PA,1/13/21,FALSE,2,1937540,23,42,14,4561501
"ANDERSON, JOHN B.",NA,US PRESIDENT,INDEPENDENT,OTHER,PENNSYLVANIA,PA,1/13/21,FALSE,2,292921,23,42,14,4561501
"CLARK, EDWARD """"ED""""",NA,US PRESIDENT,LIBERTARIAN,LIBERTARIAN,PENNSYLVANIA,PA,1/13/21,FALSE,2,33263,23,42,14,4561501
"DEBERRY, CLIFTON",NA,US PRESIDENT,SOCIALIST WORKERS,OTHER,PENNSYLVANIA,PA,1/13/21,FALSE,2,20291,23,42,14,4561501
"COMMONER, BARRY",NA,US PRESIDENT,CITIZENS,OTHER,PENNSYLVANIA,PA,1/13/21,FALSE,2,10430,23,42,14,4561501
"HALL, GUS",NA,US PRESIDENT,COMMUNIST PARTY USE,OTHER,PENNSYLVANIA,PA,1/13/21,FALSE,2,5184,23,42,14,4561501
"REAGAN, RONALD",NA,US PRESIDENT,REPUBLICAN,REPUBLICAN,PENNSYLVANIA,PA,1/13/21,FALSE,3,2584323,23,42,14,4844903
"MONDALE, WALTER",NA,US PRESIDENT,DEMOCRAT,DEMOCRAT,PENNSYLVANIA,PA,1/13/21,FALSE,3,2228131,23,42,14,4844903
"JOHNSON, SONIA",NA,US PRESIDENT,CITIZENS,OTHER,PENNSYLVANIA,PA,1/13/21,FALSE,3,21628,23,42,14,4844903
"BERGLAND, DAVID",NA,US PRESIDENT,LIBERTARIAN,LIBERTARIAN,PENNSYLVANIA,PA,1/13/21,FALSE,3,6982,23,42,14,4844903
"WINN, EDWARD",NA,US PRESIDENT,WORKERS LEAGUE,OTHER,PENNSYLVANIA,PA,1/13/21,FALSE,3,2059,23,42,14,4844903
"HALL, GUS",NA,US PRESIDENT,COMMUNIST PARTY USE,OTHER,PENNSYLVANIA,PA,1/13/21,FALSE,3,1780,23,42,14,4844903
"BUSH, GEORGE H.W.",NA,US PRESIDENT,REPUBLICAN,REPUBLICAN,PENNSYLVANIA,PA,1/13/21,FALSE,4,2300087,23,42,14,4536251
"DUKAKIS, MICHAEL",NA,US PRESIDENT,DEMOCRAT,DEMOCRAT,PENNSYLVANIA,PA,1/13/21,FALSE,4,2194944,23,42,14,4536251
"MCCARTHY, EUGENE """"GENE""""",NA,US PRESIDENT,CONSUMER,OTHER,PENNSYLVANIA,PA,1/13/21,FALSE,4,19158,23,42,14,4536251
"PAUL, RONALD """"RON""""",NA,US PRESIDENT,LIBERTARIAN,LIBERTARIAN,PENNSYLVANIA,PA,1/13/21,FALSE,4,12051,23,42,14,4536251
"FULANI, LENORA",NA,US PRESIDENT,NEW ALLIANCE,OTHER,PENNSYLVANIA,PA,1/13/21,FALSE,4,4379,23,42,14,4536251
"DUKE, DAVID",NA,US PRESIDENT,POPULIST,OTHER,PENNSYLVANIA,PA,1/13/21,FALSE,4,3444,23,42,14,4536251
"WINN, EDWARD",NA,US PRESIDENT,WORKERS LEAGUE,OTHER,PENNSYLVANIA,PA,1/13/21,FALSE,4,2188,23,42,14,4536251
"CLINTON, BILL",NA,US PRESIDENT,DEMOCRAT,DEMOCRAT,PENNSYLVANIA,PA,1/13/21,FALSE,5,2239164,23,42,14,4959810
"BUSH, GEORGE H.W.",NA,US PRESIDENT,REPUBLICAN,REPUBLICAN,PENNSYLVANIA,PA,1/13/21,FALSE,5,1791841,23,42,14,4959810
"PEROT, ROSS",NA,US PRESIDENT,INDEPENDENT,OTHER,PENNSYLVANIA,PA,1/13/21,FALSE,5,902667,23,42,14,4959810
"MARROU, ANDRE",NA,US PRESIDENT,LIBERTARIAN,LIBERTARIAN,PENNSYLVANIA,PA,1/13/21,FALSE,5,21477,23,42,14,4959810
"FULANI, LENORA",NA,US PRESIDENT,NEW ALLIANCE,OTHER,PENNSYLVANIA,PA,1/13/21,FALSE,5,4661,23,42,14,4959810
"CLINTON, BILL",NA,US PRESIDENT,DEMOCRAT,DEMOCRAT,PENNSYLVANIA,PA,1/13/21,FALSE,6,2215819,23,42,14,4501307
"DOLE, ROBERT",NA,US PRESIDENT,REPUBLICAN,REPUBLICAN,PENNSYLVANIA,PA,1/13/21,FALSE,6,1801169,23,42,14,4501307
"PEROT, ROSS",NA,US PRESIDENT,REFORM PARTY,OTHER,PENNSYLVANIA,PA,1/13/21,FALSE,6,430984,23,42,14,4501307
"BROWNE, HARRY",NA,US PRESIDENT,LIBERTARIAN,LIBERTARIAN,PENNSYLVANIA,PA,1/13/21,FALSE,6,28000,23,42,14,4501307
"PHILLIPS, HOWARD",NA,US PRESIDENT,CONSTITUTION PARTY,OTHER,PENNSYLVANIA,PA,1/13/21,FALSE,6,19552,23,42,14,4501307
"HAGELIN, JOHN",NA,US PRESIDENT,NATURAL LAW,OTHER,PENNSYLVANIA,PA,1/13/21,FALSE,6,5783,23,42,14,4501307
"GORE, AL",NA,US PRESIDENT,DEMOCRAT,DEMOCRAT,PENNSYLVANIA,PA,1/13/21,FALSE,7,2485967,23,42,14,4912185
"BUSH, GEORGE W.",NA,US PRESIDENT,REPUBLICAN,REPUBLICAN,PENNSYLVANIA,PA,1/13/21,FALSE,7,2281127,23,42,14,4912185
"NADER, RALPH",NA,US PRESIDENT,GREEN,OTHER,PENNSYLVANIA,PA,1/13/21,FALSE,7,103392,23,42,14,4912185
"BUCHANAN, PATRICK """"PAT""""",NA,US PRESIDENT,REFORM PARTY,OTHER,PENNSYLVANIA,PA,1/13/21,FALSE,7,16023,23,42,14,4912185
"PHILLIPS, HOWARD",NA,US PRESIDENT,CONSTITUTION PARTY,OTHER,PENNSYLVANIA,PA,1/13/21,FALSE,7,14428,23,42,14,4912185
"BROWNE, HARRY",NA,US PRESIDENT,LIBERTARIAN,LIBERTARIAN,PENNSYLVANIA,PA,1/13/21,FALSE,7,11248,23,42,14,4912185
"KERRY, JOHN",NA,US PRESIDENT,DEMOCRAT,DEMOCRAT,PENNSYLVANIA,PA,1/13/21,FALSE,8,2938095,23,42,14,5769590
"BUSH, GEORGE W.",NA,US PRESIDENT,REPUBLICAN,REPUBLICAN,PENNSYLVANIA,PA,1/13/21,FALSE,8,2793847,23,42,14,5769590
